46.0091	61.6565
46.1511	61.9486
46.472	61.656
46.6245	61.5011
46.729	62.17
46.66	62.41
46.818	63.277
46.925	63.587
47.136	63.587
47.212	63.899
47.137	64.089
47.221	64.301
47.343	64.459
47.571	64.454
47.707	64.421
47.896	64.197
47.989	64.039
48.154	63.947
48.154	63.947
48.259	64.162
48.142	64.439
47.915	64.821
47.865	65.103
47.84	65.653
47.95	65.693
47.985	65.249
48.069	64.954
48.207	64.745
48.38	64.45
48.404	64.279
48.509	64.186
48.588	64.218
48.604	64.148
48.658	64.164
48.761	64.327
48.767	64.308
48.749	64.172
48.815	64.007
48.765	63.438
48.672	63.135
48.6444	63.1414
48.0417	61.1167
47.904	61.132
47.991	61.458
47.902	61.63
47.755	62.054
47.396	62.46
47.227	62.453
47.056	62.329
46.93	62.159
46.874	61.943
46.928	61.501
47.488	60.732
47.904	61.132
48.0417	61.1167
47.7417	60.4208
47.3583	60.2667
47.2736	60.2944
47.0632	60.3852
47.098	60.5969
46.4633	61.1857
46.0091	61.6565
