"Year" "Lat" "Lon" "Commercial.weight" "Area_swept" "Depth" "Temperature"
"5274" 2008 47.913485 -62.133688 0.397727636 2720 56.6928 -0.57
"5275" 2008 47.955215 -61.939908 1.20081826 2531 58.5216 -0.74
"5276" 2008 47.93065 -61.741612 1.193353335 2293 62.1792 -0.73
"5277" 2008 47.778275 -62.512793 2.076661543 3117 73.152 -0.73
"5278" 2008 47.701973 -62.525368 2.882938993 3517 76.8096 -0.99
"5279" 2008 47.794528 -62.437563 2.536431387 3099 74.9808 -0.73
"5280" 2008 47.775458 -62.308247 5.5104562 2745 65.8368 -0.88
"5281" 2008 47.805363 -62.066957 0.659980339 2872 53.0352 -0.9
"5282" 2008 47.740053 -62.166517 9.251814983 2720 56.6928 -0.88
"5283" 2008 47.72908 -61.978102 2.806249089 2432 43.8912 -0.7
"5284" 2008 47.832782 -61.675213 1.557182939 2281 51.2064 -0.63
"5285" 2008 47.75234 -61.818308 0 2213 40.2336 -0.57
"5286" 2008 46.941474 -62.358845 1.409800698 2680 62.1792 -0.45
"5287" 2008 46.898965 -62.027208 0.82227685 788 56.6928 -0.27
"5288" 2008 46.85175 -61.927855 2.458944775 3313 62.1792 -0.26
"5289" 2008 46.85467 -61.720215 9.15837036 2836 58.5216 -0.2
"5290" 2008 46.96553 -61.535263 4.523897476 2846 45.72 -0.41
"5291" 2008 46.840513 -61.665613 3.66267289 2935.5 71.3232 0.51
"5292" 2008 46.8049 -61.922658 7.39449825 2480.3 82.296 -0.08
"5293" 2008 46.73759 -61.736952 0.820391516 2545.1 76.8096 0.55
"5294" 2008 46.80025 -61.785643 5.171138102 2485.8 74.9808 0.51
"5295" 2008 47.186272 -62.492627 2.571034192 2835 58.5216 -1.01
"5296" 2008 47.201937 -62.319168 0 2635 49.3776 -0.97
"5297" 2008 47.213243 -62.177305 0 2461 38.4048 -0.1
"5298" 2008 47.106083 -62.200548 0 1369 49.3776 -0.88
"5299" 2008 47.069723 -62.057953 0 3131 45.72 -0.78
"5300" 2008 47.036892 -61.840067 0 3144 38.4048 0.2
"5301" 2008 46.971453 -62.275863 0.987928508 2479 58.5216 -0.53
"5302" 2008 48.342657 -62.354498 0.78894607 2419 241.4016 4.74
"5303" 2008 48.2892 -62.475118 0.398605095 3574 84.1248 -0.27
"5304" 2008 48.24907 -62.219572 0.585044721 2087 109.728 0.16
"5305" 2008 48.269078 -62.131573 0 2174 122.5296 0.97
"5306" 2008 48.231145 -61.961867 0 2559 142.6464 0.7
"5307" 2008 48.252653 -61.87835 0 1877 259.6896 5.03
"5308" 2008 48.287588 -61.782262 0 2381 347.472 5.33
"5309" 2008 48.056572 -62.036008 0.591739968 2910 64.008 -0.53
"5310" 2008 48.15031 -62.148585 3.91432428 3852 95.0976 0.36
"5311" 2008 48.538775 -63.360035 3.49513326 2121 137.16 2.27
"5312" 2008 48.527247 -63.267697 0 2582 129.8448 2.71
"5313" 2008 48.524252 -63.113698 0.664580249 2195 215.7984 4.44
"5314" 2008 48.551438 -63.099515 0 2554 243.2304 4.52
"5315" 2008 48.480205 -63.09828 0 2288 85.9536 -0.43
"5316" 2008 48.370752 -62.916507 4.852416668 2806 87.7824 -0.54
"5317" 2008 48.48459 -62.762888 0 2476 356.616 5.32
"5318" 2008 48.380517 -62.570718 0 3113 239.5728 4.6
"5319" 2008 48.439493 -62.49147 0 2375 374.904 5.26
"5320" 2008 48.403422 -63.538913 1.335315925 3105 109.728 0.81
"5321" 2008 48.411318 -63.457828 2.189533774 3356 111.5568 0.83
"5322" 2008 48.360213 -63.353007 0.541458233 2692 84.1248 -0.26
"5323" 2008 48.358737 -63.264322 0.462924589 2732 65.8368 -0.43
"5324" 2008 48.270242 -63.352172 1.898858463 3057 85.9536 -0.41
"5325" 2008 48.294423 -63.272255 2.195584935 2508 71.3232 -0.49
"5326" 2008 48.248927 -63.15795 0.628041646 3013 53.0352 -0.26
"5327" 2008 48.282972 -63.072063 1.07351416 2292 65.8368 -0.39
"5328" 2008 48.247735 -62.897728 0 2856 74.9808 -0.57
"5329" 2008 48.2401 -62.723853 1.984876785 3029 89.6112 -0.41
"5330" 2008 48.244087 -62.586243 3.884821124 2948 93.2688 0.09
"5331" 2008 48.062205 -62.629473 3.286506782 2906.5 87.7824 -0.57
"5332" 2008 48.129002 -63.182822 0.496914333 2834.2 69.4944 -0.41
"5333" 2008 48.140052 -63.14786 1.963506805 3029 71.3232 -0.42
"5334" 2008 48.11311 -63.120023 1.001104758 1973 69.4944 -0.55
"5335" 2008 48.077725 -62.933772 3.003403553 2546 67.6656 -0.57
"5336" 2008 48.059792 -62.774075 0.933310331 2756 84.1248 -0.57
"5337" 2008 48.03722 -62.746313 2.895393597 3350 87.7824 -0.4
"5338" 2008 48.022342 -62.552382 0.859438237 2695 64.008 -0.73
"5339" 2008 48.044018 -62.379708 2.833798429 2712 80.4672 -0.15
"5340" 2008 48.08159 -62.30231 2.34027008 3089 95.0976 0.05
"5341" 2008 48.050295 -62.328672 2.314949344 2705 91.44 -0.1
"5342" 2008 47.963598 -62.73231 3.747049144 4265 84.1248 -0.73
"5343" 2008 47.849158 -62.539877 2.23598347 2909 74.9808 -0.74
"5344" 2008 47.999053 -62.381077 1.214679139 2914 76.8096 -0.61
"5345" 2008 47.890958 -62.421212 2.097388955 2935 80.4672 -0.6
"5346" 2008 47.978813 -62.30857 2.820451239 3132 80.4672 -0.35
"5347" 2008 47.86027 -63.780477 0.943285316 3364 80.4672 0.09
"5348" 2008 47.908193 -63.5962 0 2854 64.008 -0.27
"5349" 2008 47.867005 -62.704507 9.141797649 3410 76.8096 -0.69
"5350" 2008 47.764323 -63.54708 1.802785883 3310 80.4672 -0.57
"5351" 2008 47.80051 -63.424123 2.546182205 3129 80.4672 -0.64
"5352" 2008 47.81478 -63.37623 1.358471274 3039 76.8096 -0.66
"5353" 2008 47.830145 -63.239088 7.099860276 3692 80.4672 -0.73
"5354" 2008 47.788727 -63.303645 3.791691492 3152.2 85.9536 -0.57
"5355" 2008 47.78315 -63.020805 0 3375 74.9808 -0.74
"5356" 2008 47.758463 -63.095752 3.263735053 3669 76.8096 -0.85
"5357" 2008 47.819378 -62.950373 0.832303401 3142 74.9808 -0.81
"5358" 2008 47.734965 -62.690718 1.220167465 2523 65.8368 -0.88
"5359" 2008 47.810937 -62.815142 4.528528935 2618 69.4944 -0.87
"5360" 2008 48.119033 -63.891053 0.49851815 2965.6 76.8096 0.05
"5361" 2008 48.040223 -63.737782 4.474624508 3212.8 104.2416 0.05
"5362" 2008 48.049855 -63.42414 3.18207476 3256 85.9536 -0.41
"5363" 2008 48.072223 -63.307553 7.854973325 3676 89.6112 -0.57
"5364" 2008 47.957867 -63.562288 2.412848066 3466 73.152 -0.26
"5365" 2008 47.876495 -63.377908 4.299513697 3047 84.1248 -0.45
"5366" 2008 47.874752 -63.269628 1.766402905 3276.2 84.1248 -0.57
"5367" 2008 47.864393 -63.032337 2.041972543 2887 71.3232 -0.64
